,year,st1,st2
9530,2019,Hoboken Ave at Monmouth St,Lafayette Park
9531,2019,Hoboken Ave at Monmouth St,Leonard Gordon Park
9532,2019,Hoboken Ave at Monmouth St,Liberty Light Rail
9533,2019,Hoboken Ave at Monmouth St,Lincoln Park
9534,2019,Hoboken Ave at Monmouth St,Manila & 1st
9535,2019,Hoboken Ave at Monmouth St,Marin Light Rail
9536,2019,Hoboken Ave at Monmouth St,McGinley Square
9537,2019,Hoboken Ave at Monmouth St,Monmouth and 6th
9538,2019,Hoboken Ave at Monmouth St,Montgomery St
9539,2019,Hoboken Ave at Monmouth St,Morris Canal
9540,2019,Hoboken Ave at Monmouth St,Newark Ave
9541,2019,Hoboken Ave at Monmouth St,Newport PATH
9542,2019,Hoboken Ave at Monmouth St,Newport Pkwy
9543,2019,Hoboken Ave at Monmouth St,Oakland Ave
9544,2019,Hoboken Ave at Monmouth St,Paulus Hook
9545,2019,Hoboken Ave at Monmouth St,Peck Slip & Front St
9546,2019,Hoboken Ave at Monmouth St,Pershing Field
9547,2019,Hoboken Ave at Monmouth St,Riverview Park
9548,2019,Hoboken Ave at Monmouth St,Sip Ave
9549,2019,Hoboken Ave at Monmouth St,Van Vorst Park
9550,2019,Hoboken Ave at Monmouth St,Warren St
9551,2019,Hoboken Ave at Monmouth St,Washington St
9552,2019,Hoboken Ave at Monmouth St,York St
9553,2019,JC Medical Center,5 Corners Library
9554,2019,JC Medical Center,Astor Place
9555,2019,JC Medical Center,Baldwin at Montgomery
9556,2019,JC Medical Center,Bergen Ave
9557,2019,JC Medical Center,Brunswick & 6th
9558,2019,JC Medical Center,Brunswick St
9559,2019,JC Medical Center,Christ Hospital
9560,2019,JC Medical Center,City Hall
9561,2019,JC Medical Center,Columbus Dr at Exchange Pl
9562,2019,JC Medical Center,Columbus Drive
9563,2019,JC Medical Center,Communipaw & Berry Lane
9564,2019,JC Medical Center,Dey St
9565,2019,JC Medical Center,Dixon Mills
9566,2019,JC Medical Center,Essex Light Rail
9567,2019,JC Medical Center,Exchange Place
9568,2019,JC Medical Center,Fairmount Ave
9569,2019,JC Medical Center,Glenwood Ave
9570,2019,JC Medical Center,Grand St
9571,2019,JC Medical Center,Greenwich Ave & Charles St
9572,2019,JC Medical Center,Grove St PATH
9573,2019,JC Medical Center,Hamilton Park
9574,2019,JC Medical Center,Harborside
9575,2019,JC Medical Center,Heights Elevator
9576,2019,JC Medical Center,Hilltop
9577,2019,JC Medical Center,Hoboken Ave at Monmouth St
9578,2019,JC Medical Center,JC Medical Center
9579,2019,JC Medical Center,Jackson Square
9580,2019,JC Medical Center,Jersey & 3rd
9581,2019,JC Medical Center,Jersey & 6th St
9582,2019,JC Medical Center,John St & William St
9583,2019,JC Medical Center,Journal Square
9584,2019,JC Medical Center,Lafayette Park
9585,2019,JC Medical Center,Leonard Gordon Park
9586,2019,JC Medical Center,Liberty Light Rail
9587,2019,JC Medical Center,Lincoln Park
9588,2019,JC Medical Center,Manila & 1st
9589,2019,JC Medical Center,Marin Light Rail
9590,2019,JC Medical Center,McGinley Square
9591,2019,JC Medical Center,Monmouth and 6th
9592,2019,JC Medical Center,Montgomery St
9593,2019,JC Medical Center,Morris Canal
9594,2019,JC Medical Center,Newark Ave
9595,2019,JC Medical Center,Newport PATH
9596,2019,JC Medical Center,Newport Pkwy
9597,2019,JC Medical Center,Oakland Ave
9598,2019,JC Medical Center,Paulus Hook
9599,2019,JC Medical Center,Pershing Field
9600,2019,JC Medical Center,Riverview Park
9601,2019,JC Medical Center,Sip Ave
9602,2019,JC Medical Center,Union St
9603,2019,JC Medical Center,Van Vorst Park
9604,2019,JC Medical Center,Warren St
9605,2019,JC Medical Center,Washington St
9606,2019,JC Medical Center,York St
9607,2019,JCBS Depot,City Hall
9608,2019,JCBS Depot,Grove St PATH
9609,2019,JCBS Depot,Hoboken Ave at Monmouth St
9610,2019,JCBS Depot,JCBS Depot
9611,2019,JCBS Depot,Lafayette Park
9612,2019,JCBS Depot,Liberty Light Rail
9613,2019,JCBS Depot,Manila & 1st
9614,2019,JCBS Depot,McGinley Square
9615,2019,JCBS Depot,Monmouth and 6th
9616,2019,Jackson Square,5 Corners Library
9617,2019,Jackson Square,Astor Place
9618,2019,Jackson Square,Baldwin at Montgomery
9619,2019,Jackson Square,Bergen Ave
9620,2019,Jackson Square,Brunswick & 6th
9621,2019,Jackson Square,Brunswick St
9622,2019,Jackson Square,City Hall
9623,2019,Jackson Square,Columbus Dr at Exchange Pl
9624,2019,Jackson Square,Columbus Drive
9625,2019,Jackson Square,Communipaw & Berry Lane
9626,2019,Jackson Square,Dixon Mills
9627,2019,Jackson Square,Essex Light Rail
9628,2019,Jackson Square,Exchange Place
9629,2019,Jackson Square,Fairmount Ave
9630,2019,Jackson Square,Glenwood Ave
9631,2019,Jackson Square,Grand St
9632,2019,Jackson Square,Grove St PATH
9633,2019,Jackson Square,Hamilton Park
9634,2019,Jackson Square,Harborside
9635,2019,Jackson Square,Heights Elevator
9636,2019,Jackson Square,Hilltop
9637,2019,Jackson Square,Hoboken Ave at Monmouth St
9638,2019,Jackson Square,JC Medical Center
9639,2019,Jackson Square,JCBS Depot
9640,2019,Jackson Square,Jackson Square
9641,2019,Jackson Square,Journal Square
9642,2019,Jackson Square,Lafayette Park
9643,2019,Jackson Square,Liberty Light Rail
9644,2019,Jackson Square,Lincoln Park
9645,2019,Jackson Square,Manila & 1st
9646,2019,Jackson Square,Marin Light Rail
9647,2019,Jackson Square,McGinley Square
9648,2019,Jackson Square,Monmouth and 6th
9649,2019,Jackson Square,Montgomery St
9650,2019,Jackson Square,Morris Canal
9651,2019,Jackson Square,Newark Ave
9652,2019,Jackson Square,Newport PATH
9653,2019,Jackson Square,Newport Pkwy
9654,2019,Jackson Square,Paulus Hook
9655,2019,Jackson Square,Pershing Field
9656,2019,Jackson Square,Riverview Park
9657,2019,Jackson Square,Sip Ave
9658,2019,Jackson Square,Union St
9659,2019,Jackson Square,Van Vorst Park
9660,2019,Jackson Square,Warren St
9661,2019,Jackson Square,Washington St
9662,2019,Jackson Square,York St
9663,2019,Jersey & 3rd,5 Corners Library
9664,2019,Jersey & 3rd,Astor Place
9665,2019,Jersey & 3rd,Baldwin at Montgomery
9666,2019,Jersey & 3rd,Bergen Ave
9667,2019,Jersey & 3rd,Brunswick & 6th
9668,2019,Jersey & 3rd,Brunswick St
9669,2019,Jersey & 3rd,Central Park West & W 85 St
9670,2019,Jersey & 3rd,Christ Hospital
9671,2019,Jersey & 3rd,City Hall
9672,2019,Jersey & 3rd,Columbus Dr at Exchange Pl
9673,2019,Jersey & 3rd,Columbus Drive
9674,2019,Jersey & 3rd,Communipaw & Berry Lane
9675,2019,Jersey & 3rd,Dey St
9676,2019,Jersey & 3rd,Dixon Mills
9677,2019,Jersey & 3rd,Essex Light Rail
9678,2019,Jersey & 3rd,Exchange Place
9679,2019,Jersey & 3rd,Fairmount Ave
9680,2019,Jersey & 3rd,Grand St
9681,2019,Jersey & 3rd,Grove St PATH
9682,2019,Jersey & 3rd,Hamilton Park
9683,2019,Jersey & 3rd,Harborside
9684,2019,Jersey & 3rd,Heights Elevator
9685,2019,Jersey & 3rd,Hilltop
9686,2019,Jersey & 3rd,Hoboken Ave at Monmouth St
9687,2019,Jersey & 3rd,JC Medical Center
9688,2019,Jersey & 3rd,Jackson Square
9689,2019,Jersey & 3rd,Jersey & 3rd
9690,2019,Jersey & 3rd,Jersey & 6th St
9691,2019,Jersey & 3rd,Journal Square
9692,2019,Jersey & 3rd,Lafayette Park
9693,2019,Jersey & 3rd,Leonard Gordon Park
9694,2019,Jersey & 3rd,Liberty Light Rail
9695,2019,Jersey & 3rd,Lincoln Park
9696,2019,Jersey & 3rd,Manila & 1st
9697,2019,Jersey & 3rd,Marin Light Rail
9698,2019,Jersey & 3rd,McGinley Square
9699,2019,Jersey & 3rd,Monmouth and 6th
9700,2019,Jersey & 3rd,Montgomery St
9701,2019,Jersey & 3rd,Morris Canal
9702,2019,Jersey & 3rd,Newark Ave
9703,2019,Jersey & 3rd,Newport PATH
9704,2019,Jersey & 3rd,Newport Pkwy
9705,2019,Jersey & 3rd,Oakland Ave
9706,2019,Jersey & 3rd,Paulus Hook
9707,2019,Jersey & 3rd,Pershing Field
9708,2019,Jersey & 3rd,Riverview Park
9709,2019,Jersey & 3rd,Sip Ave
9710,2019,Jersey & 3rd,Union St
9711,2019,Jersey & 3rd,Van Vorst Park
9712,2019,Jersey & 3rd,Warren St
9713,2019,Jersey & 3rd,Washington St
9714,2019,Jersey & 3rd,York St
9715,2019,Jersey & 6th St,5 Corners Library
9716,2019,Jersey & 6th St,Astor Place
9717,2019,Jersey & 6th St,Baldwin at Montgomery
9718,2019,Jersey & 6th St,Brunswick & 6th
9719,2019,Jersey & 6th St,Brunswick St
9720,2019,Jersey & 6th St,Christ Hospital
9721,2019,Jersey & 6th St,City Hall
9722,2019,Jersey & 6th St,Columbus Dr at Exchange Pl
9723,2019,Jersey & 6th St,Columbus Drive
9724,2019,Jersey & 6th St,Communipaw & Berry Lane
9725,2019,Jersey & 6th St,Dey St
9726,2019,Jersey & 6th St,Dixon Mills
9727,2019,Jersey & 6th St,Essex Light Rail
9728,2019,Jersey & 6th St,Exchange Place
9729,2019,Jersey & 6th St,Fairmount Ave
9730,2019,Jersey & 6th St,Glenwood Ave
9731,2019,Jersey & 6th St,Grand St
9732,2019,Jersey & 6th St,Grove St PATH
9733,2019,Jersey & 6th St,Hamilton Park
9734,2019,Jersey & 6th St,Harborside
9735,2019,Jersey & 6th St,Heights Elevator
9736,2019,Jersey & 6th St,Hilltop
9737,2019,Jersey & 6th St,Hoboken Ave at Monmouth St
9738,2019,Jersey & 6th St,JC Medical Center
9739,2019,Jersey & 6th St,Jersey & 3rd
9740,2019,Jersey & 6th St,Jersey & 6th St
9741,2019,Jersey & 6th St,Journal Square
9742,2019,Jersey & 6th St,Lafayette Park
9743,2019,Jersey & 6th St,Liberty Light Rail
9744,2019,Jersey & 6th St,Lincoln Park
9745,2019,Jersey & 6th St,Manila & 1st
9746,2019,Jersey & 6th St,Marin Light Rail
9747,2019,Jersey & 6th St,McGinley Square
9748,2019,Jersey & 6th St,Monmouth and 6th
9749,2019,Jersey & 6th St,Montgomery St
9750,2019,Jersey & 6th St,Morris Canal
9751,2019,Jersey & 6th St,Newark Ave
9752,2019,Jersey & 6th St,Newport PATH
9753,2019,Jersey & 6th St,Newport Pkwy
9754,2019,Jersey & 6th St,Oakland Ave
9755,2019,Jersey & 6th St,Old Fulton St
9756,2019,Jersey & 6th St,Paulus Hook
9757,2019,Jersey & 6th St,Pershing Field
9758,2019,Jersey & 6th St,Riverview Park
9759,2019,Jersey & 6th St,Sip Ave
9760,2019,Jersey & 6th St,Union St
9761,2019,Jersey & 6th St,Van Vorst Park
9762,2019,Jersey & 6th St,Warren St
9763,2019,Jersey & 6th St,Washington St
9764,2019,Jersey & 6th St,York St
9765,2019,Journal Square,5 Corners Library
9766,2019,Journal Square,Astor Place
9767,2019,Journal Square,Baldwin at Montgomery
9768,2019,Journal Square,Bergen Ave
9769,2019,Journal Square,Brunswick & 6th
9770,2019,Journal Square,Brunswick St
9771,2019,Journal Square,Christ Hospital
9772,2019,Journal Square,City Hall
9773,2019,Journal Square,Columbus Dr at Exchange Pl
9774,2019,Journal Square,Columbus Drive
9775,2019,Journal Square,Communipaw & Berry Lane
9776,2019,Journal Square,Dey St
9777,2019,Journal Square,Dixon Mills
9778,2019,Journal Square,Essex Light Rail
9779,2019,Journal Square,Exchange Place
9780,2019,Journal Square,Fairmount Ave
9781,2019,Journal Square,Forrest Tech Shop (parts testing)
9782,2019,Journal Square,Glenwood Ave
9783,2019,Journal Square,Grand St
9784,2019,Journal Square,Grove St PATH
9785,2019,Journal Square,Hamilton Park
9786,2019,Journal Square,Harborside
9787,2019,Journal Square,Heights Elevator
9788,2019,Journal Square,Hilltop
9789,2019,Journal Square,Hoboken Ave at Monmouth St
9790,2019,Journal Square,JC Medical Center
9791,2019,Journal Square,Jackson Square
9792,2019,Journal Square,Jersey & 3rd
9793,2019,Journal Square,Jersey & 6th St
9794,2019,Journal Square,Journal Square
9795,2019,Journal Square,Lafayette Park
9796,2019,Journal Square,Leonard Gordon Park
9797,2019,Journal Square,Liberty Light Rail
9798,2019,Journal Square,Lincoln Park
9799,2019,Journal Square,Manila & 1st
9800,2019,Journal Square,Marin Light Rail
9801,2019,Journal Square,McGinley Square
9802,2019,Journal Square,Monmouth and 6th
9803,2019,Journal Square,Montgomery St
9804,2019,Journal Square,Newark Ave
9805,2019,Journal Square,Newport PATH
9806,2019,Journal Square,Newport Pkwy
9807,2019,Journal Square,Oakland Ave
9808,2019,Journal Square,Paulus Hook
9809,2019,Journal Square,Pershing Field
9810,2019,Journal Square,Riverview Park
9811,2019,Journal Square,Sip Ave
9812,2019,Journal Square,Union St
9813,2019,Journal Square,Van Vorst Park
9814,2019,Journal Square,Warren St
9815,2019,Journal Square,Washington St
9816,2019,Journal Square,York St
9817,2019,Lafayette Park,5 Corners Library
9818,2019,Lafayette Park,Astor Place
9819,2019,Lafayette Park,Baldwin at Montgomery
9820,2019,Lafayette Park,Bergen Ave
9821,2019,Lafayette Park,Brunswick & 6th
9822,2019,Lafayette Park,Brunswick St
9823,2019,Lafayette Park,Christ Hospital
9824,2019,Lafayette Park,City Hall
9825,2019,Lafayette Park,Columbus Dr at Exchange Pl
9826,2019,Lafayette Park,Columbus Drive
9827,2019,Lafayette Park,Communipaw & Berry Lane
9828,2019,Lafayette Park,Dey St
9829,2019,Lafayette Park,Dixon Mills
9830,2019,Lafayette Park,Essex Light Rail
9831,2019,Lafayette Park,Exchange Place
9832,2019,Lafayette Park,Fairmount Ave
9833,2019,Lafayette Park,Glenwood Ave
9834,2019,Lafayette Park,Grand St
9835,2019,Lafayette Park,Grove St PATH
9836,2019,Lafayette Park,Hamilton Park
9837,2019,Lafayette Park,Harborside
9838,2019,Lafayette Park,Heights Elevator
9839,2019,Lafayette Park,Hilltop
9840,2019,Lafayette Park,Hoboken Ave at Monmouth St
9841,2019,Lafayette Park,JC Medical Center
9842,2019,Lafayette Park,JCBS Depot
9843,2019,Lafayette Park,Jackson Square
9844,2019,Lafayette Park,Jersey & 3rd
9845,2019,Lafayette Park,Jersey & 6th St
9846,2019,Lafayette Park,Journal Square
9847,2019,Lafayette Park,Lafayette Park
9848,2019,Lafayette Park,Liberty Light Rail
9849,2019,Lafayette Park,Lincoln Park
9850,2019,Lafayette Park,Manila & 1st
9851,2019,Lafayette Park,Marin Light Rail
9852,2019,Lafayette Park,McGinley Square
9853,2019,Lafayette Park,Monmouth and 6th
9854,2019,Lafayette Park,Montgomery St
9855,2019,Lafayette Park,Morris Canal
9856,2019,Lafayette Park,Newark Ave
9857,2019,Lafayette Park,Newport PATH
9858,2019,Lafayette Park,Newport Pkwy
9859,2019,Lafayette Park,Paulus Hook
9860,2019,Lafayette Park,Pershing Field
9861,2019,Lafayette Park,Riverview Park
9862,2019,Lafayette Park,Sip Ave
9863,2019,Lafayette Park,Union St
9864,2019,Lafayette Park,Van Vorst Park
9865,2019,Lafayette Park,Warren St
9866,2019,Lafayette Park,Washington St
9867,2019,Lafayette Park,York St
9868,2019,Leonard Gordon Park,5 Corners Library
9869,2019,Leonard Gordon Park,Astor Place
9870,2019,Leonard Gordon Park,Baldwin at Montgomery
9871,2019,Leonard Gordon Park,Bergen Ave
9872,2019,Leonard Gordon Park,Brunswick & 6th
9873,2019,Leonard Gordon Park,Brunswick St
9874,2019,Leonard Gordon Park,Christ Hospital
9875,2019,Leonard Gordon Park,City Hall
9876,2019,Leonard Gordon Park,Columbus Dr at Exchange Pl
9877,2019,Leonard Gordon Park,Columbus Drive
9878,2019,Leonard Gordon Park,Dey St
9879,2019,Leonard Gordon Park,Dixon Mills
9880,2019,Leonard Gordon Park,Essex Light Rail
9881,2019,Leonard Gordon Park,Exchange Place
9882,2019,Leonard Gordon Park,Fairmount Ave
9883,2019,Leonard Gordon Park,Glenwood Ave
9884,2019,Leonard Gordon Park,Grand St
9885,2019,Leonard Gordon Park,Grove St PATH
9886,2019,Leonard Gordon Park,Hamilton Park
9887,2019,Leonard Gordon Park,Harborside
9888,2019,Leonard Gordon Park,Heights Elevator
9889,2019,Leonard Gordon Park,Hilltop
9890,2019,Leonard Gordon Park,Hoboken Ave at Monmouth St
9891,2019,Leonard Gordon Park,JC Medical Center
9892,2019,Leonard Gordon Park,Jersey & 3rd
9893,2019,Leonard Gordon Park,Jersey & 6th St
9894,2019,Leonard Gordon Park,Journal Square
9895,2019,Leonard Gordon Park,Leonard Gordon Park
9896,2019,Leonard Gordon Park,Liberty Light Rail
9897,2019,Leonard Gordon Park,Lincoln Park
9898,2019,Leonard Gordon Park,Manila & 1st
9899,2019,Leonard Gordon Park,Marin Light Rail
9900,2019,Leonard Gordon Park,McGinley Square
9901,2019,Leonard Gordon Park,Monmouth and 6th
9902,2019,Leonard Gordon Park,Montgomery St
9903,2019,Leonard Gordon Park,Morris Canal
9904,2019,Leonard Gordon Park,Murray St & West St
9905,2019,Leonard Gordon Park,Newark Ave
9906,2019,Leonard Gordon Park,Newport PATH
9907,2019,Leonard Gordon Park,Newport Pkwy
9908,2019,Leonard Gordon Park,Oakland Ave
9909,2019,Leonard Gordon Park,Paulus Hook
9910,2019,Leonard Gordon Park,Pershing Field
9911,2019,Leonard Gordon Park,Riverview Park
9912,2019,Leonard Gordon Park,Sip Ave
9913,2019,Leonard Gordon Park,Union St
9914,2019,Leonard Gordon Park,Van Vorst Park
9915,2019,Leonard Gordon Park,Warren St
9916,2019,Leonard Gordon Park,Washington St
9917,2019,Leonard Gordon Park,York St
9918,2019,Liberty Light Rail,5 Corners Library
9919,2019,Liberty Light Rail,Astor Place
9920,2019,Liberty Light Rail,Baldwin at Montgomery
9921,2019,Liberty Light Rail,Bergen Ave
9922,2019,Liberty Light Rail,Brunswick & 6th
9923,2019,Liberty Light Rail,Brunswick St
9924,2019,Liberty Light Rail,Christ Hospital
9925,2019,Liberty Light Rail,City Hall
9926,2019,Liberty Light Rail,Columbus Dr at Exchange Pl
9927,2019,Liberty Light Rail,Columbus Drive
9928,2019,Liberty Light Rail,Communipaw & Berry Lane
9929,2019,Liberty Light Rail,Dey St
9930,2019,Liberty Light Rail,Dixon Mills
9931,2019,Liberty Light Rail,Essex Light Rail
9932,2019,Liberty Light Rail,Exchange Place
9933,2019,Liberty Light Rail,Fairmount Ave
9934,2019,Liberty Light Rail,Fulton St & Broadway
9935,2019,Liberty Light Rail,Glenwood Ave
9936,2019,Liberty Light Rail,Grand St
9937,2019,Liberty Light Rail,Grove St PATH
9938,2019,Liberty Light Rail,Hamilton Park
9939,2019,Liberty Light Rail,Harborside
9940,2019,Liberty Light Rail,Heights Elevator
9941,2019,Liberty Light Rail,Hilltop
9942,2019,Liberty Light Rail,Hoboken Ave at Monmouth St
9943,2019,Liberty Light Rail,JC Medical Center
9944,2019,Liberty Light Rail,JCBS Depot
9945,2019,Liberty Light Rail,Jackson Square
9946,2019,Liberty Light Rail,Jersey & 3rd
9947,2019,Liberty Light Rail,Jersey & 6th St
9948,2019,Liberty Light Rail,Journal Square
9949,2019,Liberty Light Rail,Lafayette Park
9950,2019,Liberty Light Rail,Leonard Gordon Park
9951,2019,Liberty Light Rail,Liberty Light Rail
9952,2019,Liberty Light Rail,Liberty St & Broadway
9953,2019,Liberty Light Rail,Lincoln Park
9954,2019,Liberty Light Rail,Manila & 1st
9955,2019,Liberty Light Rail,Marin Light Rail
9956,2019,Liberty Light Rail,McGinley Square
9957,2019,Liberty Light Rail,Mercer St & Spring St
9958,2019,Liberty Light Rail,Monmouth and 6th
9959,2019,Liberty Light Rail,Montgomery St
9960,2019,Liberty Light Rail,Morningside Ave & W 123 St
9961,2019,Liberty Light Rail,Morris Canal
9962,2019,Liberty Light Rail,Newark Ave
9963,2019,Liberty Light Rail,Newport PATH
9964,2019,Liberty Light Rail,Newport Pkwy
9965,2019,Liberty Light Rail,Oakland Ave
9966,2019,Liberty Light Rail,Paulus Hook
9967,2019,Liberty Light Rail,Pershing Field
9968,2019,Liberty Light Rail,Riverview Park
9969,2019,Liberty Light Rail,Sip Ave
9970,2019,Liberty Light Rail,Union St
9971,2019,Liberty Light Rail,Van Vorst Park
9972,2019,Liberty Light Rail,Vesey Pl & River Terrace
9973,2019,Liberty Light Rail,W 27 St & 7 Ave
9974,2019,Liberty Light Rail,Warren St
9975,2019,Liberty Light Rail,Washington St
9976,2019,Liberty Light Rail,West St & Chambers St
9977,2019,Liberty Light Rail,York St
9978,2019,Lincoln Park,5 Corners Library
9979,2019,Lincoln Park,Astor Place
9980,2019,Lincoln Park,Baldwin at Montgomery
9981,2019,Lincoln Park,Bergen Ave
9982,2019,Lincoln Park,Brunswick & 6th
9983,2019,Lincoln Park,Brunswick St
9984,2019,Lincoln Park,Christ Hospital
9985,2019,Lincoln Park,City Hall
9986,2019,Lincoln Park,Columbus Dr at Exchange Pl
9987,2019,Lincoln Park,Columbus Drive
9988,2019,Lincoln Park,Communipaw & Berry Lane
9989,2019,Lincoln Park,Dey St
9990,2019,Lincoln Park,Dixon Mills
9991,2019,Lincoln Park,Essex Light Rail
9992,2019,Lincoln Park,Exchange Place
9993,2019,Lincoln Park,Fairmount Ave
9994,2019,Lincoln Park,Glenwood Ave
9995,2019,Lincoln Park,Grand St
9996,2019,Lincoln Park,Grove St PATH
9997,2019,Lincoln Park,Hamilton Park
9998,2019,Lincoln Park,Harborside
9999,2019,Lincoln Park,Heights Elevator
10000,2019,Lincoln Park,Hilltop
10001,2019,Lincoln Park,JC Medical Center
10002,2019,Lincoln Park,JCBS Depot
10003,2019,Lincoln Park,Jackson Square
10004,2019,Lincoln Park,Jersey & 3rd
10005,2019,Lincoln Park,Jersey & 6th St
10006,2019,Lincoln Park,Journal Square
10007,2019,Lincoln Park,Lafayette Park
10008,2019,Lincoln Park,Leonard Gordon Park
10009,2019,Lincoln Park,Liberty Light Rail
10010,2019,Lincoln Park,Lincoln Park
10011,2019,Lincoln Park,Manila & 1st
10012,2019,Lincoln Park,Marin Light Rail
10013,2019,Lincoln Park,McGinley Square
10014,2019,Lincoln Park,Monmouth and 6th
10015,2019,Lincoln Park,Montgomery St
10016,2019,Lincoln Park,Morris Canal
10017,2019,Lincoln Park,Newark Ave
10018,2019,Lincoln Park,Newport PATH
10019,2019,Lincoln Park,Newport Pkwy
10020,2019,Lincoln Park,Oakland Ave
10021,2019,Lincoln Park,Paulus Hook
10022,2019,Lincoln Park,Pershing Field
10023,2019,Lincoln Park,Riverview Park
10024,2019,Lincoln Park,Sip Ave
10025,2019,Lincoln Park,Union St
10026,2019,Lincoln Park,Van Vorst Park
10027,2019,Lincoln Park,Warren St
10028,2019,Lincoln Park,Washington St
10029,2019,Lincoln Park,York St
10030,2019,Manila & 1st,5 Corners Library
10031,2019,Manila & 1st,Astor Place
10032,2019,Manila & 1st,Baldwin at Montgomery
10033,2019,Manila & 1st,Bergen Ave
10034,2019,Manila & 1st,Brunswick & 6th
10035,2019,Manila & 1st,Brunswick St
10036,2019,Manila & 1st,Christ Hospital
10037,2019,Manila & 1st,City Hall
10038,2019,Manila & 1st,Columbus Dr at Exchange Pl
10039,2019,Manila & 1st,Columbus Drive
10040,2019,Manila & 1st,Communipaw & Berry Lane
10041,2019,Manila & 1st,Dey St
10042,2019,Manila & 1st,Dixon Mills
10043,2019,Manila & 1st,Essex Light Rail
10044,2019,Manila & 1st,Exchange Place
10045,2019,Manila & 1st,Fairmount Ave
10046,2019,Manila & 1st,Glenwood Ave
10047,2019,Manila & 1st,Grand St
10048,2019,Manila & 1st,Grove St PATH
10049,2019,Manila & 1st,Hamilton Park
10050,2019,Manila & 1st,Harborside
10051,2019,Manila & 1st,Heights Elevator
10052,2019,Manila & 1st,Hilltop
10053,2019,Manila & 1st,Hoboken Ave at Monmouth St
10054,2019,Manila & 1st,JC Medical Center
10055,2019,Manila & 1st,JCBS Depot
10056,2019,Manila & 1st,Jackson Square
10057,2019,Manila & 1st,Jersey & 3rd
10058,2019,Manila & 1st,Jersey & 6th St
10059,2019,Manila & 1st,Journal Square
10060,2019,Manila & 1st,Lafayette Park
10061,2019,Manila & 1st,Leonard Gordon Park
10062,2019,Manila & 1st,Liberty Light Rail
10063,2019,Manila & 1st,Lincoln Park
10064,2019,Manila & 1st,Manila & 1st
10065,2019,Manila & 1st,Marin Light Rail
10066,2019,Manila & 1st,McGinley Square
10067,2019,Manila & 1st,Monmouth and 6th
10068,2019,Manila & 1st,Montgomery St
10069,2019,Manila & 1st,Morris Canal
10070,2019,Manila & 1st,Newark Ave
10071,2019,Manila & 1st,Newport PATH
10072,2019,Manila & 1st,Newport Pkwy
10073,2019,Manila & 1st,Oakland Ave
10074,2019,Manila & 1st,Paulus Hook
10075,2019,Manila & 1st,Pershing Field
10076,2019,Manila & 1st,Riverview Park
10077,2019,Manila & 1st,Sip Ave
10078,2019,Manila & 1st,Union St
10079,2019,Manila & 1st,Van Vorst Park
10080,2019,Manila & 1st,W 15 St & 6 Ave
10081,2019,Manila & 1st,Warren St
10082,2019,Manila & 1st,Washington St
10083,2019,Manila & 1st,York St
10084,2019,Marin Light Rail,5 Corners Library
10085,2019,Marin Light Rail,Astor Place
10086,2019,Marin Light Rail,Baldwin at Montgomery
10087,2019,Marin Light Rail,Barrow St & Hudson St
10088,2019,Marin Light Rail,Bergen Ave
10089,2019,Marin Light Rail,Brunswick & 6th
10090,2019,Marin Light Rail,Brunswick St
10091,2019,Marin Light Rail,Christ Hospital
10092,2019,Marin Light Rail,City Hall
10093,2019,Marin Light Rail,Columbus Dr at Exchange Pl
10094,2019,Marin Light Rail,Columbus Drive
10095,2019,Marin Light Rail,Communipaw & Berry Lane
10096,2019,Marin Light Rail,Dey St
10097,2019,Marin Light Rail,Dixon Mills
10098,2019,Marin Light Rail,Essex Light Rail
10099,2019,Marin Light Rail,Exchange Place
10100,2019,Marin Light Rail,Fairmount Ave
10101,2019,Marin Light Rail,Glenwood Ave
10102,2019,Marin Light Rail,Grand St
10103,2019,Marin Light Rail,Greenwich St & W Houston St
10104,2019,Marin Light Rail,Grove St PATH
10105,2019,Marin Light Rail,Hamilton Park
10106,2019,Marin Light Rail,Harborside
10107,2019,Marin Light Rail,Heights Elevator
10108,2019,Marin Light Rail,Hilltop
