year,week,station,anzahl
2016,9,Union St,4
2016,9,Van Vorst Park,115
2016,9,Warren St,76
2016,9,West Side Light Rail,5
2016,10,5 Corners Library,42
2016,10,Baldwin at Montgomery,61
2016,10,Bayside Park,11
2016,10,Brunswick St,203
2016,10,Central Ave,47
2016,10,Christ Hospital,48
2016,10,City Hall,128
2016,10,Columbia Park,3
2016,10,Dey St,37
2016,10,Essex Light Rail,164
2016,10,Exchange Place,255
2016,10,Garfield Ave Station,11
2016,10,Grove St PATH,399
2016,10,Hamilton Park,256
2016,10,Heights Elevator,22
2016,10,Hilltop,38
2016,10,JC Medical Center,106
2016,10,Liberty Light Rail,109
2016,10,Lincoln Park,74
2016,10,MLK Light Rail,8
2016,10,McGinley Square,118
2016,10,NJCU,9
2016,10,Newark Ave,164
2016,10,Newport PATH,243
2016,10,Newport Pkwy,167
2016,10,North St,29
2016,10,Oakland Ave,57
2016,10,Paulus Hook,124
2016,10,Pershing Field,58
2016,10,Riverview Park,28
2016,10,Sip Ave,267
2016,10,Union St,3
2016,10,Van Vorst Park,157
2016,10,Warren St,133
2016,10,West Side Light Rail,1
2016,11,5 Corners Library,34
2016,11,Baldwin at Montgomery,55
2016,11,Bayside Park,8
2016,11,Brunswick St,177
2016,11,Central Ave,40
2016,11,Christ Hospital,32
2016,11,City Hall,85
2016,11,Columbia Park,4
2016,11,Dey St,34
2016,11,Essex Light Rail,130
2016,11,Exchange Place,219
2016,11,Garfield Ave Station,5
2016,11,Grove St PATH,391
2016,11,Hamilton Park,210
2016,11,Heights Elevator,21
2016,11,Hilltop,32
2016,11,JC Medical Center,66
2016,11,Liberty Light Rail,68
2016,11,Lincoln Park,49
2016,11,MLK Light Rail,4
2016,11,McGinley Square,112
2016,11,NJCU,8
2016,11,Newark Ave,130
2016,11,Newport PATH,223
2016,11,Newport Pkwy,81
2016,11,North St,20
2016,11,Oakland Ave,48
2016,11,Paulus Hook,102
2016,11,Pershing Field,43
2016,11,Riverview Park,27
2016,11,Sip Ave,268
2016,11,Union St,3
2016,11,Van Vorst Park,145
2016,11,Warren St,101
2016,11,West Side Light Rail,4
2016,12,5 Corners Library,38
2016,12,Baldwin at Montgomery,76
2016,12,Bayside Park,6
2016,12,Brunswick St,169
2016,12,Central Ave,38
2016,12,Christ Hospital,39
2016,12,City Hall,91
2016,12,Columbia Park,3
2016,12,Dey St,29
2016,12,Essex Light Rail,129
2016,12,Exchange Place,222
2016,12,Garfield Ave Station,5
2016,12,Grove St PATH,415
2016,12,Hamilton Park,243
2016,12,Heights Elevator,21
2016,12,Hilltop,40
2016,12,JC Medical Center,67
2016,12,Liberty Light Rail,67
2016,12,Lincoln Park,78
2016,12,MLK Light Rail,8
2016,12,McGinley Square,115
2016,12,NJCU,7
2016,12,Newark Ave,156
2016,12,Newport PATH,197
2016,12,Newport Pkwy,122
2016,12,North St,32
2016,12,Oakland Ave,52
2016,12,Paulus Hook,111
2016,12,Pershing Field,61
2016,12,Riverview Park,27
2016,12,Sip Ave,300
2016,12,Union St,5
2016,12,Van Vorst Park,140
2016,12,Warren St,104
2016,12,West Side Light Rail,2
2016,13,5 Corners Library,43
2016,13,Baldwin at Montgomery,66
2016,13,Bayside Park,10
2016,13,Brunswick St,161
2016,13,Central Ave,49
2016,13,Christ Hospital,41
2016,13,City Hall,96
2016,13,Dey St,23
2016,13,Essex Light Rail,118
2016,13,Exchange Place,208
2016,13,Garfield Ave Station,3
2016,13,Grove St PATH,370
2016,13,Hamilton Park,152
2016,13,Heights Elevator,27
2016,13,Hilltop,22
2016,13,JC Medical Center,50
2016,13,Liberty Light Rail,60
2016,13,Lincoln Park,67
2016,13,MLK Light Rail,10
2016,13,McGinley Square,95
2016,13,NJCU,9
2016,13,Newark Ave,123
2016,13,Newport PATH,192
2016,13,Newport Pkwy,93
2016,13,North St,26
2016,13,Oakland Ave,51
2016,13,Paulus Hook,100
2016,13,Pershing Field,55
2016,13,Riverview Park,20
2016,13,Sip Ave,308
2016,13,Union St,1
2016,13,Van Vorst Park,120
2016,13,Warren St,111
2016,13,West Side Light Rail,1
2016,14,5 Corners Library,30
2016,14,Baldwin at Montgomery,42
2016,14,Bayside Park,7
2016,14,Brunswick St,171
2016,14,Central Ave,38
2016,14,Christ Hospital,18
2016,14,City Hall,72
2016,14,Dey St,21
2016,14,Essex Light Rail,122
2016,14,Exchange Place,177
2016,14,Garfield Ave Station,5
2016,14,Grove St PATH,340
2016,14,Hamilton Park,200
2016,14,Heights Elevator,18
